image_id,shelfmark,jpeg_path
0004171c,*L.24.13,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~52779~104068
0055470c,*N.32/34,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~90496~107158
0010334c,*O.24.38,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~69950~104612
0057312c,*P.15.33,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~150310~162637
0057313c,*P.15.33,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~150311~162636
0057314c,*P.15.33,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~150312~162635
0057315c,*P.15.33,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~150313~162634
0057316c,*P.15.33,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~150314~162633
0057317c,*P.15.33,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~150315~162632
0057318c,*P.15.33,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~150316~162631
0057319c,*P.15.33,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~150317~162630
0057320c,*P.15.33,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~150318~162629
0057321c,*P.15.33,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~150319~162628
0057322c,*P.15.33,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~150320~162627
0057323c,*P.15.33,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~150321~162626
0057324c,*P.15.33,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~150322~162625
0057325c,*P.15.33,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~150323~162624
0057326c,*P.15.33,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~150324~162623
0057327c,*P.15.33,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~150325~162622
0057328c,*P.15.33,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~150326~162621
0057329c,*P.15.33,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~150327~162620
0057330c,*P.15.33,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~150328~162619
0057331c,*P.15.33,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~150329~162618
0057332c,*P.15.33,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~150330~162617
