System ID,Firstnames,Lastname,Known As,Title,Post Nominals,Person Corporate Type,Record Type,Role,Gender
1618,John,Dick,,,,,Person,Subject Person : Sitter,Male
1955,,Pask,,,,Business,Corporate,"Production Person (pri & sec), Production Person (primary)",
2055,T,Woods,T,,,Individual,Person,"Production Person (pri & sec), Production Person (primary)",
5148,Juan de,Valverde,Juan,,,Individual,Person,"Primary Person : Author, Production Person (pri & sec), Production Person (pri & sec) : Author, Production Person (primary), Production Person (primary) : Author",
6965,W.,Barratt,W.,,,Individual,Person,"Production Person (pri & sec), Production Person (primary)",
7065,Jeffery,Camp,Jeffery,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
3535,Conan,Doyle,Conan,Sir,,Individual,Person,,Male
7117,Louisa Mary,Freeman,Louisa,,,Individual,Person,,
7873,Richard,Cooper,,,the younger,Individual,Person,"Production Person (pri & sec) : Engraver, Production Person (primary) : Engraver",
4188,Timothy  C.,Tozer,Tim,,,Individual,Person,Acquisition Source : donor,
4339,John,Elphinstone,,,,Individual,,"Production Person (pri & sec) : Mapmaker, Production Person (primary) : Mapmaker",
4340,Andrew,Millar,,,,Individual,,"Production Person (pri & sec) : Publisher, Production Person (primary) : Publisher",
2821,,Raoux / Millereau,,,,Business,Corporate,"Production Person (pri & sec), Production Person (primary)",
7770,Rosalba,Carriera,,,,Individual,Person,"Production Person (pri & sec) : Painter, Production Person (secondary) : Painter",
7769,John,Freind,,,,Individual,Person,Subject Person : Sitter,Male
2131,,O'Brien,,,,Business,Corporate,"Production Person (pri & sec), Production Person (pri & sec) : possibly, Production Person (primary), Production Person (primary) : possibly",
4754,J.,Hargrave,,,,Individual,,"Production Person (pri & sec) : Surveyor, Production Person (primary) : Surveyor",
1145,François-Joseph,Heim,,,,Individual,,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
8284,Alex,Mitchell,Alex,,,Individual,Person,"Production Person (pri & sec), Production Person (primary)",
8143,,Helmstadt,,,,Individual,Person,"Production Person (pri & sec) : Painter, Production Person (secondary) : Painter",
36,Eduardo Luigi,Paolozzi,Eduardo,,"KBE, RA",Individual,,"Production Person (pri & sec), Production Person (pri & sec) : Sculptor, Production Person (pri & sec) : Artist, Production Person (primary), Production Person (primary) : Sculptor, Production Person (primary) : Artist, Acquisition Source : donor",Male
6426,Finlay,Purvis,Finlay,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
5712,John,Derricke,John,,,Individual,Person,,
2618,Ernst,David,Ernst,,,Individual,Person,"Production Person (pri & sec), Production Person (primary)",
1269,Joseph,Nash,,,,Individual,,"Production Person (pri & sec) : Draftsman, Production Person (pri & sec) : Artist, Production Person (primary) : Draftsman, Production Person (primary) : Artist",
1896,T,Welsh,T,,,Individual,Person,"Production Person (pri & sec), Production Person (primary)",
